# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd up
# columns_index: 0 1
# index_cols: ymd
# index_formats: %Y-%m-%d
2010-07-01 0.00
2010-07-02 5.27
2010-07-03 4.40
2010-07-04 -5.64
2010-07-05 0.63
2010-07-06 7.38
2010-07-07 5.16
2010-07-08 1.75
2010-07-09 6.44
2010-07-10 8.25
2010-07-11 0.71
2010-07-12 5.02
2010-07-13 -1.69
2010-07-14 5.29
2010-07-15 6.85
2010-07-16 8.28
2010-07-18 -8.05
2010-07-19 5.64
2010-07-20 3.34
2010-07-21 -3.79
2010-07-22 5.11
2010-07-23 -5.23
2010-07-24 -4.81
2010-07-25 -8.73
2010-07-26 -4.25
2010-07-27 7.90
2010-07-28 -3.15
2010-07-29 -4.05
2010-07-30 -2.06
2010-07-31 -6.63
2010-08-01 -2.20
2010-08-02 -8.06
2010-08-03 -1.25
2010-08-04 -1.29
2010-08-05 -10.82
2010-08-06 -3.67
2010-08-07 -11.05
2010-08-08 0.23
2010-08-09 7.93
2010-08-11 -5.42
2010-08-12 -19.88
2010-08-13 -8.35
2010-08-14 4.88
2010-08-15 -17.82
2010-08-16 -9.23
2010-08-17 0.08
2010-08-18 -10.42
2010-08-19 -10.35
2010-08-20 -20.72
2010-08-21 -17.71
2010-08-22 -13.57
2010-08-24 -8.45
2010-08-25 -11.85
2010-08-26 -5.75
2010-08-27 -17.26
2010-08-28 -14.08
2010-08-29 -10.11
2010-08-30 -13.57
2010-08-31 -10.59
2010-09-01 -7.49
2010-09-02 -10.40
2010-09-03 -14.19
2010-09-04 -16.18
2010-09-05 -22.40
2010-09-06 -15.34
2010-09-07 -17.09
2010-09-08 -21.82
2010-09-09 -17.08
2010-09-10 -16.80
2010-09-11 -11.46
2010-09-12 -15.22
2010-09-13 -18.23
2010-09-14 -14.89
2010-09-15 -20.60
2010-09-16 -18.49
2010-09-17 -18.02
2010-09-18 -14.20
2010-09-19 -25.14
2010-09-20 -25.42
2010-09-21 -17.91
2010-09-22 -18.05
2010-09-23 -20.00
2010-09-24 -18.13
2010-09-25 -19.58
2010-09-26 -12.09
2010-09-27 -23.00
2010-09-28 -19.21
2010-09-29 -21.02
2010-09-30 -9.87
2010-10-01 -14.90
2010-10-02 -26.07
2010-10-03 -14.90
2010-10-04 -13.31
2010-10-05 -17.29
2010-10-06 -8.86
2010-10-07 -11.50
2010-10-08 -10.45
2010-10-09 -12.76
2010-10-10 -18.99
2010-10-11 -13.03
2010-10-12 -11.80
2010-10-13 -15.94
2010-10-14 -16.10
2010-10-15 -12.45
2010-10-16 -15.69
2010-10-17 -18.60
2010-10-18 -17.53
2010-10-19 -18.13
2010-10-20 -12.97
2010-10-21 -15.67
2010-10-22 -14.82
2010-10-23 -10.01
2010-10-24 -10.53
2010-10-25 -18.69
2010-10-27 -13.61
2010-10-28 -22.55
2010-10-29 -16.73
2010-10-30 -19.72
2010-10-31 -16.33
2010-11-01 -20.22
2010-11-02 -18.55
2010-11-03 -18.19
2010-11-04 -19.07
